timestamp_start,length_mean,length_range,length_median,ttl_mean,ttl_range,ttl_median,payload_length_mean,payload_length_range,payload_length_median,most_freq_highest_layer,most_freq_src_port,most_freq_dst_port,most_freq_protocol,most_freq_tcp_flags,label,duration
0.0,513.3,1241,180.5,63.95,1.0,64.0,448.5,1229.0,115.0,Raw,Registered,Well-known,6.0,PA,normal,0.9371294555888794
1.304027,390.85,1241,66.0,63.85,1.0,64.0,328.45,1229.0,6.0,Raw,Registered,Well-known,6.0,A,normal,0.9644546030345802
3.079327,512.05,1254,180.5,64.0,0.0,64.0,498.27777777777777,1230.0,226.5,Raw,Registered,Well-known,6.0,PA,normal,0.9373308775017493
4.164817,333.95,2920,76.0,63.75,1.0,64.0,279.35,2920.0,34.0,Raw,Well-known,Well-known,6.0,A,normal,0.9105700117717557
4.957164,203.35,737,84.5,63.55,1.0,64.0,149.95,737.0,36.5,Raw,Well-known,Well-known,6.0,PA,normal,0.7245558579678353
5.046637,330.8,2920,67.0,63.5,1.0,63.5,275.6,2920.0,6.0,Raw,Well-known,Well-known,6.0,A,normal,0.5890263879258886
5.064816,272.2,1242,63.0,73.1,191.0,64.0,215.8,1230.0,6.0,Raw,Registered,Registered,6.0,PA,normal,0.741816520130063
5.185141,541.25,1231,292.5,57.7,63.0,64.0,477.65,1231.0,226.5,Raw,Registered,Well-known,6.0,PA,normal,0.9890446468751919
7.180317,403.9,1228,97.0,70.73684210526316,254.0,64.0,356.05263157894734,1228.0,45.0,Raw,Registered,Well-known,6.0,PA,normal,0.9370769589504835
8.428418,591.0,1232,295.0,60.85,63.0,64.0,526.2,1232.0,229.0,Raw,Registered,Well-known,6.0,PA,normal,0.9840747999705142
10.307796,452.45,1244,71.0,63.95,1.0,64.0,387.65,1232.0,5.5,Raw,Registered,Well-known,6.0,PA,normal,0.9883086025127221
12.289193,440.55,1240,66.0,63.85,1.0,64.0,378.15,1228.0,6.0,Raw,Registered,Well-known,6.0,A,normal,0.9376822821832334
13.387877,525.25,1242,292.5,63.95,1.0,64.0,460.45,1230.0,226.5,Raw,Registered,Well-known,6.0,PA,normal,0.9878671377967359
15.352179,581.8,1253,295.0,64.0,0.0,64.0,574.7777777777778,1229.0,229.0,Raw,Registered,Well-known,6.0,PA,normal,0.9916953792797207
17.406343,462.2,1224,180.5,64.0,0.0,64.0,396.2,1224.0,114.5,Raw,Registered,Well-known,6.0,PA,normal,0.947335051241747
19.444986,583.3,1230,295.0,64.0,0.0,64.0,517.3,1230.0,229.0,Raw,Registered,Well-known,6.0,PA,normal,0.9475156294766167
20.980761,573.45,1241,295.0,74.0,192.0,64.0,534.8421052631579,1229.0,229.0,Raw,Registered,Well-known,6.0,PA,normal,0.9772652348142903
22.725549,333.35,1240,66.0,63.85,1.0,64.0,270.95,1228.0,5.5,Raw,Registered,Well-known,6.0,A,normal,0.9322677622798837
23.748828,513.55,1241,183.0,63.95,1.0,64.0,448.75,1229.0,117.5,Raw,Registered,Well-known,6.0,PA,normal,0.9863709096304107
25.806865,515.35,1228,182.0,64.0,0.0,64.0,448.55,1228.0,114.5,Raw,Registered,Well-known,6.0,PA,normal,0.9838582164321417
27.680425,269.3,1205,93.0,63.7,1.0,64.0,210.5,1193.0,39.0,Raw,Registered,Well-known,6.0,PA,normal,0.9336419580158255
28.720521,456.2,1231,78.0,64.0,0.0,64.0,395.0,1231.0,35.0,Raw,Registered,Well-known,6.0,PA,normal,0.9421655042426151
29.869509,397.5,1242,93.0,63.8,1.0,64.0,335.7,1230.0,39.0,Raw,Registered,Well-known,6.0,PA,normal,0.9373580326056696
30.998078,513.3,1240,180.5,63.95,1.0,64.0,449.1,1228.0,115.0,Raw,Registered,Well-known,6.0,PA,normal,0.9867083361166369
32.935403,390.3,1235,66.0,63.85,1.0,64.0,327.9,1223.0,6.0,Raw,Registered,Well-known,6.0,A,normal,0.9330768686889858
33.967959,319.5,1253,66.0,63.92857142857143,1.0,64.0,370.2857142857143,1229.0,5.5,Raw,Registered,Well-known,6.0,A,normal,0.9720767144646338
35.873965,583.15,1229,295.0,64.0,0.0,64.0,517.15,1229.0,229.0,Raw,Registered,Well-known,6.0,PA,normal,0.9459438261470735
37.923577,583.25,1229,295.0,64.0,0.0,64.0,517.25,1229.0,229.0,Raw,Registered,Well-known,6.0,PA,normal,0.9460324610981482
39.982292,532.0,1229,221.0,64.0,0.0,64.0,472.0,1229.0,167.0,Raw,Registered,Well-known,6.0,PA,normal,0.9400062373586017
41.104903,571.0,1239,295.0,63.95,1.0,64.0,506.2,1227.0,229.0,Raw,Registered,Well-known,6.0,PA,normal,0.9912730446073927
43.157788,333.5,1238,66.0,63.85,1.0,64.0,271.1,1226.0,5.5,Raw,Registered,Well-known,6.0,A,normal,0.9323155652695734
44.181278,511.75,1253,180.5,63.94444444444444,1.0,64.0,498.27777777777777,1229.0,229.0,Raw,Registered,Well-known,6.0,PA,normal,0.9866851673298693
46.119512,276.3,1161,98.5,63.9,1.0,64.0,218.1,1149.0,43.5,Raw,Registered,Well-known,6.0,PA,normal,0.9042728180119669
