iter	Passed	Remaining
0	159	15773
1	186	9150
2	204	6618
3	225	5418
4	249	4749
5	282	4424
6	307	4088
7	339	3909
8	372	3768
9	390	3516
10	423	3423
11	453	3328
12	463	3104
13	479	2946
14	491	2787
15	515	2706
16	533	2605
17	555	2531
18	588	2509
19	601	2407
20	624	2349
21	659	2338
22	690	2310
23	715	2266
24	730	2192
25	742	2113
26	755	2041
27	787	2024
28	819	2006
29	843	1969
30	861	1917
31	895	1903
32	929	1886
33	950	1845
34	971	1804
35	986	1753
36	1019	1735
37	1050	1713
38	1071	1676
39	1089	1634
40	1121	1613
41	1133	1565
42	1149	1523
43	1171	1490
44	1198	1464
45	1208	1418
46	1239	1397
47	1249	1353
48	1281	1333
49	1297	1297
50	1312	1260
51	1318	1217
52	1343	1191
53	1352	1152
54	1365	1117
55	1398	1098
56	1430	1079
57	1454	1053
58	1481	1029
59	1506	1004
60	1515	969
61	1537	942
62	1544	907
63	1551	872
64	1576	849
65	1583	815
66	1603	789
67	1620	762
68	1644	739
69	1665	713
70	1686	688
71	1701	661
72	1711	633
73	1729	607
74	1742	580
75	1777	561
76	1790	534
77	1805	509
78	1833	487
79	1867	466
80	1900	445
81	1936	425
82	1958	401
83	1987	378
84	2020	356
85	2035	331
86	2053	306
87	2074	282
88	2107	260
89	2132	236
90	2144	212
91	2161	187
92	2187	164
93	2206	140
94	2234	117
95	2243	93
96	2255	69
97	2273	46
98	2306	23
99	2342	0
