timestamp,length,highest_layer,src_port,dst_port,protocol,ttl,tcp_flags,payload_length,label
0.0,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
0.007585,1291,Raw,Well-known,Registered,6.0,64.0,PA,1225.0,normal
0.007585,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
0.044206,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
0.047265,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
0.048154,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
0.048155,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
0.052942,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
0.281805,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
0.29268,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
0.29268,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
0.489279,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
0.489734,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
1.016169,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
1.026145,1295,Raw,Well-known,Registered,6.0,64.0,PA,1229.0,normal
1.026145,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
1.067131,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
1.070746,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
1.072051,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
1.082337,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
1.304027,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
1.307692,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
1.349833,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
2.043591,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
2.053981,1295,Raw,Well-known,Registered,6.0,64.0,PA,1229.0,normal
2.05501,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
2.096164,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
2.099457,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
2.101213,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
2.321651,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
2.330797,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
2.330797,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
2.330797,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
2.332227,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
2.794875,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
2.794875,60,Padding,Dynamic_Private,Well-known,6.0,64.0,A,6.0,normal
2.794875,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
2.795682,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
2.795782,54,TCP,Well-known,Dynamic_Private,6.0,63.0,A,0.0,normal
2.795839,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
3.079327,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
3.08587,1290,Raw,Well-known,Registered,6.0,64.0,PA,1224.0,normal
3.08632,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
